"Localidades";"Períodos";"Consumo de Energia Elétrica - Total (Em MWh)";"Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh)";"Consumo de Energia Elétrica - Industrial (Em MWh)";"Consumo de Energia Elétrica - Residencial (Em MWh)";"Consumo de Energia Elétrica - Rural (Em MWh)";"Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh)";"Cód. IBGE"
"Barretos";"2018";"358013";"84251";"82080";"119113";"31778";"40791";3505500
"Barretos";"2019";"374754";"91137";"85166";"125822";"29797";"42831";3505500
"Barrinha";"2015";"38634";"5735";"1264";"23853";"651";"7130";3505609
"Barrinha";"2016";"38085";"5232";"1183";"23887";"542";"7240";3505609
"Barrinha";"2017";"39072";"5151";"1190";"24474";"605";"7652";3505609
"Barrinha";"2018";"40214";"5403";"1099";"25035";"666";"8012";3505609
"Barrinha";"2019";"41429";"5586";"1095";"26030";"677";"8041";3505609
"Barueri";"2015";"1373366";"741970";"288573";"281544";"-";"61278";3505708
"Barueri";"2016";"1320387";"721769";"249074";"288266";"-";"61278";3505708
"Barueri";"2017";"1334875";"729903";"246771";"293578";"-";"64623";3505708
"Barueri";"2018";"1339128";"733357";"242675";"297305";"-";"65791";3505708
"Barueri";"2019";"1370477";"761192";"238411";"303300";"-";"67574";3505708
"Bastos";"2015";"61767";"6505";"9756";"14069";"25695";"5743";3505807
"Bastos";"2016";"61754";"6518";"9924";"14331";"25190";"5791";3505807
"Bastos";"2017";"64561";"6739";"10141";"14685";"27259";"5737";3505807
"Bastos";"2018";"68618";"7137";"10637";"15221";"29414";"6209";3505807
"Bastos";"2019";"71217";"7726";"9497";"16088";"31374";"6531";3505807
"Batatais";"2015";"128537";"21691";"28195";"49465";"6950";"22236";3505906
"Batatais";"2016";"125292";"20864";"26899";"49106";"6593";"21830";3505906
"Batatais";"2017";"126471";"20166";"27365";"50328";"6676";"21936";3505906
"Batatais";"2018";"131326";"20702";"30033";"51108";"6677";"22806";3505906
"Batatais";"2019";"134360";"21182";"30553";"52826";"6918";"22880";3505906
